"","L","US","rep","dem","female","employed","nonhispanic_white","bachelors","above_median_income","zip"
"1480",7,7,NA,NA,1,1,0,1,1,75204
"1481",6,7,0,1,0,1,0,1,1,85295
"1482",2,2,0,1,0,0,1,0,0,4106
"1483",5,4,1,0,1,0,1,1,1,87031
"1484",1,3,1,0,0,0,1,0,0,22030
"1485",2,1,0,1,0,1,0,1,1,53704
"1486",0,1,1,0,0,1,1,0,0,29063
"1487",3,2,0,0,0,1,1,1,1,84414
"1488",5,6,0,1,1,1,0,1,1,78735
"1489",4,6,0,0,1,1,1,1,0,30345
"1490",7,7,0,1,0,1,0,1,1,80920
"1491",5,7,0,1,0,1,0,0,0,95133
"1492",5,5,0,0,0,1,1,0,1,40486
"1493",5,5,0,1,1,1,1,0,0,15650
"1494",8,9,1,0,0,0,1,0,0,18224
"1495",10,10,0,1,1,1,0,1,1,97128
"1496",0,0,NA,NA,1,0,1,0,0,31545
"1497",6,5,1,0,0,1,1,1,0,29210
"1498",0,0,0,0,1,1,1,1,1,28601
"1499",3,3,NA,NA,0,1,1,0,0,97603
"1500",0,0,0,1,0,1,1,0,1,34610
"1501",1,1,1,0,0,1,1,0,0,86409
"1502",10,10,0,1,1,1,1,0,0,31520
"1503",1,2,0,1,0,1,1,1,1,16803
"1504",10,7,0,1,1,1,0,1,1,19001
"1505",8,8,0,1,0,1,1,1,0,98802
"1506",8,9,0,1,0,1,0,1,1,60106
"1507",10,10,0,0,0,1,1,0,0,53050
"1508",5,5,0,0,0,1,0,1,1,95831
"1509",10,8,0,0,1,1,1,0,0,98166
"1510",9,9,0,0,0,1,1,0,0,14445
"1511",4,6,1,0,1,1,1,0,1,44060
"1512",7,7,0,1,0,1,0,1,0,30062
"1513",9,9,0,1,1,1,0,1,0,95824
"1514",10,10,0,1,0,1,1,0,0,15901
"1515",5,5,0,0,0,1,1,1,1,90049
"1516",7,7,0,1,1,1,1,1,1,33484
"1517",7,7,0,0,1,1,1,0,0,80003
"1518",7,1,0,0,0,0,0,0,0,30033
"1519",0,0,1,0,1,1,1,0,0,93212
"1520",0,0,1,0,1,1,1,0,0,21228
"1521",8,10,0,1,0,1,0,1,1,33713
"1522",10,9,0,0,1,1,1,1,0,94513
"1523",1,1,1,0,1,1,1,0,0,77864
"1524",1,1,1,0,0,1,1,0,0,77303
"1525",2,4,0,0,0,1,0,1,0,92626
"1526",0,0,1,0,0,1,1,0,0,77381
"1527",1,2,0,0,0,0,1,0,0,53090
"1528",3,3,1,0,1,0,1,0,1,53186
"1529",0,0,0,0,1,1,1,0,0,7446
"1530",2,2,1,0,0,1,1,0,0,83639
"1531",0,0,0,0,0,1,0,1,0,91206
"1532",7,8,0,1,0,0,1,0,0,53563
"1533",9,9,0,1,1,1,0,1,1,32246
"1534",6,6,NA,NA,1,0,1,0,0,17814
"1535",8,10,0,0,0,1,0,0,0,95122
"1536",0,0,0,0,0,1,1,1,0,39074
"1537",9,9,0,0,1,0,1,1,0,91406
"1538",0,0,1,0,1,0,1,0,0,8106
"1539",9,9,0,1,0,0,1,1,0,19102
"1540",10,10,NA,NA,0,1,1,0,0,41773
"1541",8,8,0,1,0,0,0,1,0,37411
"1542",0,0,1,0,0,1,1,1,1,48430
"1543",7,7,0,0,1,1,0,1,1,96825
"1544",8,8,1,0,1,0,0,1,1,92129
"1545",1,2,0,0,1,0,1,0,0,98146
"1546",9,9,0,1,0,1,1,1,0,78753
"1547",5,9,0,1,1,0,0,0,0,90032
"1548",7,9,0,0,1,1,1,1,0,82072
"1549",2,1,0,0,1,0,1,0,0,81504
"1550",6,5,0,0,0,1,1,0,0,44105
"1551",6,2,0,1,0,1,1,0,0,60164
"1552",7,6,0,1,1,1,1,0,1,98003
"1553",10,10,0,1,1,0,0,1,1,90503
"1554",8,10,0,0,1,0,0,0,0,44484
"1555",5,5,1,0,0,1,1,1,0,50324
"1556",1,1,0,1,1,0,1,0,0,34237
"1557",7,7,0,1,0,1,1,1,1,11214
"1558",4,3,0,1,0,1,0,0,0,35749
"1559",7,7,0,1,1,1,1,1,0,77345
"1560",8,8,0,1,0,1,0,0,0,10023
"1561",8,7,1,0,0,1,0,0,0,11357
"1562",7,7,0,1,1,1,0,1,1,60435
"1563",10,10,0,1,0,1,0,1,1,96819
"1564",3,3,0,1,1,1,0,1,1,93635
"1565",5,4,0,1,1,1,1,0,0,43055
"1566",7,7,1,0,0,1,0,1,1,10001
"1567",8,8,NA,NA,1,1,1,0,0,37130
"1568",6,7,0,1,1,1,0,1,1,23235
"1569",4,2,0,0,0,1,0,1,0,16502
"1570",9,9,0,1,1,1,1,0,0,48329
"1571",0,0,1,0,1,1,1,0,1,12771
"1572",8,9,0,1,1,1,0,1,1,11356
"1573",6,8,0,0,0,1,1,1,1,30253
"1574",7,7,0,1,1,1,0,1,1,48309
"1575",3,8,0,1,0,1,0,1,1,44883
"1576",2,2,0,0,1,0,1,0,0,29032
"1577",1,1,1,0,0,1,1,0,0,28792
"1578",5,4,0,0,1,1,1,0,0,60106
"1579",0,1,1,0,1,1,1,1,1,33196
"1580",5,5,0,0,1,1,1,1,1,99645
"1581",2,3,1,0,1,1,1,1,1,23236
"1582",10,10,0,1,1,0,1,0,1,27949
"1583",9,9,0,1,0,1,0,1,1,90046
"1584",8,5,NA,NA,0,1,1,0,0,68450
"1585",10,10,0,0,1,1,1,1,0,61802
"1586",8,8,0,1,1,1,1,0,0,53221
"1587",3,3,1,0,1,1,1,1,1,32174
"1588",0,3,0,0,1,1,1,0,0,43204
"1589",5,5,0,1,1,1,1,0,0,61025
"1590",0,1,1,0,1,1,1,0,0,32163
"1591",0,0,1,0,0,1,1,1,1,15146
"1592",0,0,0,1,0,1,0,0,0,6850
"1593",5,5,0,0,1,0,1,1,0,19438
"1594",0,0,1,0,1,1,1,0,0,29073
"1595",10,10,0,1,1,1,1,1,1,28806
"1596",3,4,1,0,0,1,1,0,0,14519
"1597",8,8,0,0,1,0,1,1,1,31324
"1598",10,10,NA,NA,0,1,1,0,0,91206
"1599",10,10,0,1,1,1,1,0,0,84129
"1600",8,7,0,0,0,1,1,1,0,54403
"1601",0,0,1,0,1,0,1,0,0,33844
"1602",4,4,0,1,1,1,0,1,0,11720
"1603",8,8,0,1,1,1,0,1,0,32837
"1604",7,5,0,1,0,1,0,1,0,10002
"1605",3,3,1,0,1,1,1,0,1,3103
"1606",4,4,0,0,0,1,1,1,1,63366
"1607",7,7,0,0,1,0,1,0,0,4258
"1608",4,4,0,1,1,1,1,1,0,18202
"1609",10,10,0,1,1,1,1,1,1,43125
"1610",10,10,0,1,1,0,1,0,0,19152
"1611",6,8,1,0,0,1,1,1,1,17551
"1612",9,9,0,1,0,1,0,1,1,23225
"1613",5,5,0,0,1,1,0,1,1,75211
"1614",3,3,0,0,0,0,1,0,0,59711
"1615",1,2,0,1,1,1,1,1,1,30346
"1616",5,5,1,0,1,1,1,1,0,32256
"1617",3,6,0,0,1,1,1,1,0,95531
"1618",0,0,1,0,0,1,1,0,1,76528
"1619",9,8,0,0,0,1,1,1,1,2382
"1620",6,6,1,0,0,1,1,0,0,76528
"1621",3,4,0,1,0,1,1,0,0,54984
"1622",0,1,1,0,1,1,1,1,1,85253
